date,areaCode,cumCasesBySpecimenDate,newCasesBySpecimenDate
31/12/2020,E06000002,7448,105
31/12/2020,E06000017,767,15
31/12/2020,E08000005,15080,116
31/12/2020,E06000032,10713,255
31/12/2020,E10000016,75812,1615
31/12/2020,E08000001,17518,94
31/12/2020,E06000049,12947,244
31/12/2020,E09000024,9324,272
31/12/2020,E08000013,9298,113
31/12/2020,E10000032,20168,769
31/12/2020,E10000023,18391,343
31/12/2020,E10000021,24269,655
31/12/2020,E10000014,33204,1054
31/12/2020,E06000036,4013,87
31/12/2020,E09000002,13569,488
31/12/2020,E09000022,13647,394
31/12/2020,E06000003,5717,64
31/12/2020,E06000012,6174,35
31/12/2020,E06000045,7070,226
31/12/2020,E08000025,57118,1034
31/12/2020,E10000003,13773,421
31/12/2020,E06000050,12894,286
31/12/2020,E06000056,8810,214
31/12/2020,E09000025,20055,703
31/12/2020,E06000041,4822,111
31/12/2020,E06000052,6679,224
31/12/2020,E10000008,12762,177
31/12/2020,E09000014,12116,328
31/12/2020,E06000023,19544,257
31/12/2020,E09000032,13218,335
31/12/2020,E09000021,7577,212
31/12/2020,E06000011,12495,89
31/12/2020,E09000003,17422,505
31/12/2020,E09000018,12552,395
31/12/2020,E06000001,5756,81
31/12/2020,E08000026,12854,272
31/12/2020,E09000007,8364,227
31/12/2020,E10000031,18550,318
31/12/2020,E06000058,11149,321
31/12/2020,E06000018,20495,231
31/12/2020,E09000004,13978,385
31/12/2020,E08000035,42468,346
31/12/2020,E06000054,8399,212
31/12/2020,E10000034,16477,376
31/12/2020,E06000004,10021,130
31/12/2020,E09000023,12107,443
31/12/2020,E06000039,7900,174
31/12/2020,E08000006,15749,129
31/12/2020,E08000024,14114,216
31/12/2020,E06000019,3757,88
31/12/2020,E10000017,61976,833
31/12/2020,E09000028,12759,414
30/12/2020,N09000001,4917,171
30/12/2020,N09000006,3658,124
30/12/2020,N09000008,4681,143
30/12/2020,W06000011,14152,159
30/12/2020,N09000007,4868,129
30/12/2020,S12000014,2853,84
30/12/2020,N09000011,3391,98
30/12/2020,S12000035,912,17
30/12/2020,W06000022,8333,168
30/12/2020,E08000019,29996,245
30/12/2020,W06000009,2189,53
30/12/2020,E06000022,4947,104
30/12/2020,E10000013,13328,353
30/12/2020,W06000021,3103,52
30/12/2020,S12000006,1904,196
30/12/2020,W06000001,1195,22
30/12/2020,N09000005,8824,199
30/12/2020,W06000023,2496,52
30/12/2020,W06000006,6813,214
30/12/2020,S12000050,12623,252
30/12/2020,E08000032,33780,243
30/12/2020,E09000019,8713,382
30/12/2020,W06000018,10428,148
30/12/2020,W06000013,9869,240
30/12/2020,E08000028,17249,408
30/12/2020,S12000017,1323,112
30/12/2020,S12000018,1615,92
30/12/2020,W06000024,5464,72
30/12/2020,N09000004,4784,141
30/12/2020,E08000014,12753,310
30/12/2020,S12000042,4361,101
30/12/2020,W06000003,2289,29
30/12/2020,W06000002,1770,9
30/12/2020,E08000009,10789,198
30/12/2020,E10000030,39242,1618
30/12/2020,S12000028,2486,48
30/12/2020,E06000044,7806,200
30/12/2020,S12000026,1654,60
30/12/2020,N09000009,6865,250
